Incubation	Treatment	Replicate	Day	Cl_mM	SO_mM	Al.uM	As.uM	Ba.uM	Ca.mM	Cu.uM	Fe.uM	K.mM	Li.uM	Mg.mM	Mn.uM	Mo.uM	P.uM	Si.uM	Sr.uM	Fe.fer.uM	Sulfide_uM	Sulfur.mmol.g.wet.sediment
1A	Lep.HS	A	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.05	19.06	NA
1B	Lep.HS	B	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	16.69	NA
1C	Lep.HS	C	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.86	9.26	NA
2A	Lep.S	A	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.986	16.01	NA
2B	Lep.S	B	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.961	11.96	NA
2C	Lep.S	C	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.91	12.97	NA
3A	Lep.TS	A	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.91	10.61	NA
3B	Lep.TS	B	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.48	8.24	NA
3C	Lep.TS	C	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.48	15.68	NA
9A	C	A	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.455	NA	NA
9B	C	B	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.455	NA	NA
1A	Lep.HS	A	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	10.95	NA
1B	Lep.HS	B	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.43	10.95	NA
1C	Lep.HS	C	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.835	12.97	NA
2A	Lep.S	A	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.037	15	NA
2B	Lep.S	B	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.366	14.66	NA
2C	Lep.S	C	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.531	10.61	NA
3A	Lep.TS	A	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.885	16.69	NA
3B	Lep.TS	B	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.075	11.96	NA
3C	Lep.TS	C	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.885	16.01	NA
9B	C	B	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.24	17.37	NA
4A	Bir.HS	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	122.792	NA
4B	Bir.HS	B	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.407	NA
4C	Bir.HS	C	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.083	NA
5A	Bir.S	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.621	NA
5B	Bir.S	B	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.256	NA
5C	Bir.S	C	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.297	NA
6A	Bir.TS	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.242	NA
6B	Bir.TS	B	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.242	NA
6C	Bir.TS	C	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.256	NA
7A	Bir.Ac	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.256	NA
7B	Bir.Ac	B	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.58	NA
7C	Bir.Ac	C	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.566	NA
8A	Ac	A	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.165	NA
8B	Ac	B	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.393	NA
8C	Ac	C	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.165	NA
10A	Bir	A	0	570.396	0.476	7.469	0	0	10.12	8.789	4.598	9.68	0	52.822	0	0	92.994	244.893	20.889	2.47	4.71	NA
10B	Bir	B	0	567.918	0.484	0	0	0	10.395	2.42	1.771	9.735	0	54.802	0	0	91.63	230.725	21.538	1.73	11.51	NA
10C	Bir	C	0	568.284	0.482	0	0	0	9.834	0	1.419	9.625	0	51.15	0	0	95.04	229.988	20.361	0.99	12.78	NA
11	C_2	A	0	590.728	0.566	0	0	2.068	9.691	0	2.629	9.592	0	50.281	8.019	0	116.897	215.589	22.506	4.69	14.9	NA
10A	Bir	A	1	570.268	0.498	0	0	0	9.119	0	0	9.339	0	51.59	130.68	0	56.804	227.062	18.645	1.36	14.05	NA
10B	Bir	B	1	575.552	0.492	0	0	0	8.877	0	0	9.449	0	50.611	132.924	0	46.376	205.315	18.018	2.1	8.11	NA
10C	Bir	C	1	572.378	0.532	0	0	0	8.833	0	0	9.251	0	49.808	131.362	0	57.497	220.088	18.216	1.36	8.96	NA
11	C_2	A	1	581.19	0.562	0	0	2.156	9.746	0	2.277	9.141	0	50.787	8.569	0	133.034	229.493	22.77	2.1	3.43	NA
10A	Bir	A	2	603.358	1	0	0	0	7.535	0	2.167	9.889	0	48.224	208.34	0	24.651	206.987	17.655	6.17	3.01	NA
10B	Bir	B	2	576.756	0.496	10.593	0	0	7.821	0	6.05	9.79	0	50.424	223.113	0	19.679	213.653	18.282	5.43	3.86	NA
10C	Bir	C	2	572.722	0.504	9.438	0	0	8.36	0	5.588	9.966	0	52.866	224.994	0	31.053	236.159	19.69	4.32	4.71	NA
11	C_2	A	2	581.572	0.566	5.357	0	2.299	9.625	0	5.709	9.57	0	51.249	9.064	0	136.444	259.666	23.155	9.12	5.13	NA
10A	Bir	A	3	568.862	0.496	11.605	0	0	7.216	0	7.678	9.889	0	50.688	237.281	0	16.082	222.937	18.755	3.58	0	NA
10B	Bir	B	3	573.992	0.498	0	0	0	6.985	0	1.617	10.043	0	49.544	241.747	0	0	188.98	18.018	3.58	3.01	NA
10C	Bir	C	3	563.794	0.494	0	0	0	6.93	0	1.375	9.57	0	48.213	227.722	0	13.607	192.973	18.04	1.73	4.71	NA
11	C_2	A	3	577.128	0.564	0	0	2.497	9.625	0	2.101	9.108	0	51.964	8.833	0	137.951	259.985	23.232	2.84	1.73	NA
10A	Bir	A	6	560.55	0.496	0	0	0	6.204	0	0	9.35	0	49.621	245.707	0	0	200.189	18.304	2.1	3.01	NA
10B	Bir	B	6	578.976	0.514	0	0	0	6.105	0	0	9.438	0	48.532	244.651	0	0	179.949	17.644	2.1	0.03	NA
10C	Bir	C	6	576.066	0.504	0	0	0	6.468	0	0	9.482	0	51.436	248.974	0	0	204.413	19.261	2.84	2.16	NA
11	C_2	A	6	588.632	0.576	0	0	2.97	9.251	0	0	9.262	0	51.711	8.503	0	142.274	284.361	23.364	3.21	18.73	NA
10A	Bir	A	10	576.068	0.518	45.023	0	2.959	5.753	0	4.884	9.977	0	51.656	379.412	0	27.742	247.885	19.734	1.36	20.85	NA
10B	Bir	B	10	572.71	0.516	0	0	2.09	5.39	0	3.817	9.933	0	48.961	379.72	0	18.92	217.107	18.579	1.36	3.43	NA
10C	Bir	C	10	564.052	0.508	0	0	3.96	5.687	0	4.521	9.889	0	49.654	334.356	0	38.566	239.745	19.393	1.36	2.58	NA
11	C_2	A	10	587.97	0.598	0	0	3.322	8.866	0	0	9.405	0	50.732	8.481	0	139.414	308.22	23.111	1.36	13.63	NA
10A	Bir	A	20	570.224	0.518	0	0	5.456	5.181	0	2.2	9.889	0	49.676	362.043	0	61.105	297.176	19.569	5.06	3.43	NA
10B	Bir	B	20	570.798	0.546	0	0	3.157	5.104	0	2.332	10.021	0	50.688	306.614	0	28.534	289.938	19.459	3.58	0	NA
10C	Bir	C	20	567.302	0.508	0	0	5.654	5.643	0	2.09	9.944	0	50.908	349.624	0	76.01	307.681	20.339	2.84	9.38	NA
11	C_2	A	20	571.796	0.538	0	0	3.652	8.393	0	0	9.658	0	48.763	8.217	0	142.23	326.458	22.682	0.99	12.78	NA
